ingredientNo	recipeNumber	subHeadingNo	ingredient	mainIngredients
1	1	1	6 dried shiitake mushrooms	MUSHROOM
2	1	1	250g pkt bean thread vermicelli noodles	BEAN THREAD
3	1	1	2 tablespoons peanut oil	PEANUT OIL
4	1	1	2 teaspoons finely grated fresh ginger	GINGER
5	1	1	2 garlic cloves, crushed	GARLIC
6	1	1	2 small fresh red chillies, thinly sliced	CHILLIE
7	1	1	5 shallots, ends trimmed, thinly sliced	SHALLOT
8	1	1	400g pork mince	PORK
9	1	1	2 tablespoons soy sauce	SOY SAUCE
10	1	1	2 tablespoons hoisin sauce	HOISIN SAUCE
11	1	1	1 tablespoon water	WATER
12	1	1	2 teaspoons cornflour	CORNFLOUR
13	1	1	150g firm tofu, cut into 2cm pieces	TOFU
14	2	1	1 tablespoon cornflour	CORNFLOUR
15	2	1	2 tablespoons gluten-free soy sauce	SOY SAUCE
16	2	1	60ml (1/4 cup) dry sherry	SHERRY
17	2	1	600g chicken thigh fillets, excess fat trimmed, cut into 3cm pieces	FAT, CHICKEN
18	2	1	60ml (1/4 cup) peanut oil	PEANUT OIL
19	2	1	3 garlic cloves, thinly sliced lengthways	GARLIC
20	2	1	1 tablespoon finely grated fresh ginger	GINGER
21	2	1	1 red capsicum, seeded, thinly sliced	CAPSICUM
22	2	1	250ml (1 cup) Campbell's Real Stock Chicken	CHICKEN
23	2	1	1 cinnamon stick	CINNAMON
24	2	1	1/2 teaspoon sesame oil	SESAME OIL
25	2	1	1 long fresh red chilli, thinly sliced	CHILLI
26	2	1	Steamed SunRice White Medium Grain Rice, to serve	RICE
27	3	1	1 x 200g pkt milk chocolate with hazelnuts, coarsely chopped	CHOCOLATE, MILK
28	3	1	3 eggs, at room temperature, separated	EGG
29	3	1	125ml (1/2 cup) thickened cream	THICKENED CREAM
30	3	1	55g (1/4 cup) caster sugar	SUGAR
31	3	1	Icing sugar, to dust	SUGAR
32	3	1	Candy canes, to serve	CANDY
33	4	1	1 tablespoon olive oil	OLIVE OIL
34	4	1	1 brown onion, finely chopped	ONION
35	4	1	700ml bottle Italian tomato pasta sauce	PASTA SAUCE
36	4	1	4 cups Campbell's Real Stock Chicken	CHICKEN
37	4	1	1 cup dried stelline (star-shaped) pasta (see note)	PASTA
38	4	1	1 zucchini, trimmed	ZUCCHINI
39	4	1	100g tasty cheese, grated	CHEESE
40	4	1	4 slices bread, toasted	BREAD
41	5	1	4 eggs	EGG
42	5	1	225g (1 cup) caster sugar	SUGAR
43	5	1	100g unsalted butter, softened	UNSALTED BUTTER
44	5	1	100g slivered almonds	SLIVERED ALMOND
45	5	1	1 cup desiccated coconut	COCONUT
46	5	1	2 tablespoons grated lemon rind	LEMON
47	5	1	2 tablespoons grated orange rind	ORANGE
48	5	1	125ml (1/2 cup) lemon juice	LEMON JUICE
49	5	1	125ml (1/2 cup) orange juice	ORANGE JUICE
50	5	1	250ml (1 cup) coconut milk	COCONUT MILK
51	5	1	1/2 cup plain flour, sifted	FLOUR
52	5	1	Lightly whipped cream and fresh passionfruit pulp, to serve	PASSIONFRUIT PULP
53	6	1	2/3 cup (100g) roasted hazelnuts	HAZELNUT
54	6	1	50g good-quality dark chocolate, chopped	DARK CHOCOLATE
55	6	1	2 eggwhites	EGG
56	6	1	1/2 cup (110g) caster sugar	SUGAR
57	7	1	250g white chocolate, broken into pieces	WHITE CHOCOLATE
58	7	1	3 eggs	EGG
59	7	1	1 teaspoon vanilla extract	VANILLA EXTRACT
60	7	1	1/4 cup (55g) caster sugar	SUGAR
61	7	1	300ml thickened cream	THICKENED CREAM
62	7	1	2 x 150g boxes Lindt Lindor White chocolate balls	WHITE CHOCOLATE
63	8	1	4 eggs	EGG
64	8	1	1 butter lettuce, leaves separated	LETTUCE, BUTTER
65	8	1	1 telegraph cucumber, peeled, thinly sliced	CUCUMBER
66	8	1	1/4 cup micro cress (see Notes)	CRES
67	8	1	150g thick low-fat Greek yoghurt	YOGHURT
68	8	1	1 teaspoon curry powder	CURRY POWDER
69	8	1	2 tablespoons extra virgin olive oil	OLIVE OIL
70	8	1	Pinch of cayenne pepper	CAYENNE PEPPER
71	8	1	1 teaspoon nigella seeds (see Notes)	SEED
72	9	1	1/2 cup Cobram Estate Classic Flavour Extra Virgin Olive Oil	OLIVE OIL
73	9	1	1kg desiree potatoes, peeled, halved, thinly sliced	POTATOE
74	9	1	7 eggs	EGG
75	9	1	2 tablespoons milk	MILK
76	9	1	2/3 cup sour cream	SOUR CREAM
77	9	1	100g sliced leg ham, torn	HAM
78	9	1	1/4 cup pitted mixed olives, halved	OLIVE
79	9	1	250g cherry tomatoes, halved	TOMATOES
80	9	1	1/2 cup fresh flat-leaf parsley leaves	PARSLEY
81	10	1	1 1/2 cups (300g) dried green split peas, soaked overnight, drained, rinsed	SPLIT PEA
82	10	1	1 onion, 1 carrot & 1 celery stalk, chopped	CELERY, CARROT, ON
83	10	1	2 bay leaf	BAY LEAF
84	10	1	1 ham hock (see note)	HAM
85	10	1	1/2 cup (60g) frozen peas, blanched	PEA
86	10	1	Cream and crusty bread, to serve	BREAD, CREAM
87	11	1	500g mascarpone cheese	CHEESE, MASCARPONE
88	11	1	600ml thickened cream	THICKENED CREAM
89	11	1	1/3 cup (50g) icing sugar	SUGAR
90	11	1	2 egg yolks	EGG
91	11	1	1 vanilla bean, split, seeds scraped	VANILLA BEAN
92	11	1	1/2 cup (125ml) Grand Marnier	GRAND MARNIER
93	11	1	Juice of 2 oranges	JUICE
94	11	1	300g savoiardi (see note) (sponge finger biscuits)	SPONGE FINGER BISC
95	11	1	3 mangoes, flesh sliced 1cm thick	MANGOES
96	11	2	1/4 cup (55g) caster sugar	SUGAR
97	11	2	250g fresh or frozen raspberries	FROZEN RASPBERRIE
98	11	2	Juice of 1 lemon	LEMON, JUICE
99	12	1	100g (1/2 cup, firmly packed) dark brown sugar	BROWN SUGAR
100	12	1	125ml (1/2 cup) thickened cream	THICKENED CREAM
101	12	1	200g Anzac biscuits, broken into small pieces	BISCUITS
102	12	1	2 tablespoons shredded coconut, toasted	SHREDDED COCONUT
103	12	1	8 scoops vanilla ice-cream	VANILLA
104	13	1	6 large Sebago potatoes, scrubbed	POTATOE
105	13	1	2 tablespoons extra virgin olive oil	OLIVE OIL
106	13	1	1 small brown onion, finely chopped	ONION
107	13	1	1 small carrot, finely chopped	CARROT
108	13	1	1 celery stalk, finely chopped	CELERY
109	13	1	500g lamb mince	LAMB
110	13	1	1 tablespoon roast meat gravy powder	GRAVY
111	13	1	1/3 cup beef stock	BEEF
112	13	1	2 tablespoons mint sauce	MINT
113	13	1	2 cups frozen peas	PEA
114	13	1	2 tablespoons thickened cream	THICKENED CREAM
115	13	1	Roast meat gravy, to serve	GRAVY
116	14	1	1/4 red cabbage, shredded	RED CABBAGE
117	14	1	1/2 small iceberg lettuce, shredded	LETTUCE
118	14	1	4 green onions, thinly sliced	GREEN ONION
119	14	1	2 teaspoons sesame seeds, toasted	SESAME SEED
120	14	1	100g crunchy noodles	NOODLE
121	14	1	2 tablespoons Chang's oriental Asian noodle salad dressing	SALAD DRESSING
122	15	1	440g packet golden buttercake cake mix (with icing sachet)	MIX, CAKE
123	15	1	1.5 litres vanilla ice-cream	VANILLA
124	15	1	250g punnet strawberries, hulled	STRAWBERRIE
125	15	1	1 litre chocolate chip ice-cream, softened	CHOCOLATE CHIP
126	15	1	2 x 138g packets LCMs Split Stix Chocolatey	LCMS
127	15	1	1/4 teaspoon green sprinkles	GREEN
128	15	1	1/2 cup strawberry flavoured topping	STRAWBERRY FLAVOUR
129	15	1	60g white chocolate, finely grated	WHITE CHOCOLATE
130	15	2	1/2 teaspoon vegetable oil	VEGETABLE OIL
131	15	2	450g NESTLÉ BAKERS' CHOICE Dark Choc Melts	DARK CHOC MELTS
132	15	3	250g cream cheese, softened	CREAM CHEESE
133	15	3	180g butter, softened	BUTTER
134	15	3	6 1/2 cups icing sugar mixture (see Notes)	SUGAR
135	15	3	2 tablespoons milk	MILK
136	15	3	Lemon yellow gel food colouring	LEMON
137	16	1	1 1/2 cups dried risoni	DRIED RISONI
138	16	1	1 bunch silverbeet	SILVERBEET
139	16	1	1/4 cup extra virgin olive oil	OLIVE OIL
140	16	1	2 garlic cloves, thinly sliced	GARLIC
141	16	1	2 green onions, thinly sliced	GREEN ONION
142	16	1	1/2 cup pitted green Sicilian olives, halved lengthways	GREEN
143	16	1	2 teaspoons lemon zest	LEMON
144	16	1	2 tablespoons lemon juice	LEMON JUICE
145	16	1	2 tablespoons roughly chopped fresh dill	DILL
146	16	1	2 tablespoons chopped fresh flat-leaf parsley	PARSLEY
147	16	1	100g fetta, crumbled	FETTA
148	17	1	1/2 cup caster sugar	SUGAR
149	17	1	2 egg whites	EGG
150	17	1	1 teaspoon orange rind, finely grated	ORANGE
151	17	1	Orange gel food colouring	ORANGE
152	17	1	100g dark chocolate, chopped	DARK CHOCOLATE
153	17	1	8 mini waffle cones	WAFFLE
154	17	1	2 tablespoons orange dollar sprinkles	ORANGE
155	17	1	4 x 18g love notes candy rolls	CANDY
156	17	1	1/4 cup mini fruits candy (see Notes)	CANDY
157	17	1	1/2 x 200g packet Jaffas	JAFFAS
158	17	2	100g dark chocolate, chopped	DARK CHOCOLATE
159	17	2	2 tablespoons pure cream	CREAM
160	17	2	1 tablespoon orange juice	ORANGE JUICE
161	18	1	300g packet Sanitarium Vegie Delights vegie mince	VEGIE MINCE
162	18	1	400g can red kidney beans, drained, rinsed	KIDNEY BEAN
163	18	1	375g jar enchilada sauce	ENCHILADA
164	18	1	12 flour tortillas	FLOUR
165	18	1	1 cup grated tasty cheese	CHEESE
166	18	2	1/2 cup SunRice White Long Grain Rice	RICE
167	18	2	310g can corn kernels, drained	CORN
168	18	2	3 green onions, thinly sliced	GREEN ONION
169	18	2	1/3 cup fresh coriander leaves, chopped	CORIANDER
170	18	2	1 tablespoon lime juice	LIME JUICE
171	19	1	2 1/2 cups SunRice long grain white rice	WHITE RICE
172	19	1	1 tablespoon peanut oil	PEANUT OIL
173	19	1	1 brown onion, cut into thin wedges	ONION
174	19	1	2 garlic cloves, crushed	GARLIC
175	19	1	3cm piece fresh ginger, finely grated	GINGER
176	19	1	4 cups diced vegetables (see note)	DICED VEGETABLES
177	19	1	2 cups leftover chicken, cooked and sliced	CHICKEN
178	19	1	2 tablespoons soy sauce	SOY SAUCE
179	19	1	1 tablespoon brown sugar	BROWN SUGAR
180	19	1	Fresh coriander leaves, to serve	CORIANDER
181	20	1	1 cup (80g) freshly grated parmesan	PARMESAN
182	20	1	1 tablespoon plain flour	FLOUR
183	20	1	2/3 cup (160ml) olive oil	OLIVE OIL
184	20	1	1/4 cup (60ml) balsamic vinegar	BALSAMIC VINEGAR
185	20	1	8 cups (240g) mixed bitter salad leaves (such as radicchio, witlof and rocket) or 	WITLOF, RADICCHIO
186	21	1	1 tablespoon olive oil	OLIVE OIL
187	21	1	1 small brown onion, chopped	ONION
188	21	1	350g lean beef mince	BEEF
189	21	1	2 garlic cloves, crushed	GARLIC
190	21	1	1 small zucchini, grated	ZUCCHINI
191	21	1	1 small carrot, grated	CARROT
192	21	1	2 tablespoons gravy powder	GRAVY
193	21	1	2 tablespoons tomato paste	TOMATO PASTE
194	21	1	4 sheets frozen ready-rolled shortcrust pastry, partially thawed	SHORTCRUST PASTRY
195	21	1	1 tablespoon milk	MILK
196	21	1	Tomato sauce, to serve	TOMATO SAUCE
197	22	1	6 large zucchinis	ZUCCHINI
198	22	1	1/2 cup (130g) good-quality basil pesto	PESTO, BASIL
199	22	1	2 teaspoons finely grated lemon zest	LEMON
200	22	1	2 tablespoons extra virgin olive oil, plus extra to drizzle	OLIVE OIL
201	22	1	1/3 cup (50g) pine nuts, toasted	PINE NUT
202	22	1	1/2 cup (40g) finely grated parmesan	PARMESAN
203	22	1	Basil leaves, to serve	BASIL
204	23	1	370g jar cherry jam	JAM
205	23	1	1/2 cup (125ml) golden syrup	SYRUP
206	23	1	1/2 cup (100g) brown sugar	BROWN SUGAR
207	23	1	1/2 teaspoon ground allspice	ALLSPICE
208	23	1	1 cinnamon stick	CINNAMON
209	23	1	1/4 teaspoon ground cloves	CLOVE
210	23	1	7kg full leg ham	HAM
211	23	1	2 tablespoons whole cloves	CLOVE
212	24	1	3 oranges, rind thinly peeled into wide strips	ORANGE
213	24	1	260g caster sugar, plus extra, to coat	SUGAR
214	24	1	300g dark chocolate (70% cocoa solids), chopped	DARK CHOCOLATE
215	24	1	50g flaked almonds, toasted	ALMOND
216	24	1	190g unsalted butter, softened	UNSALTED BUTTER
217	24	1	4 eggs	EGG
218	24	1	225g ground almonds	ALMOND
219	24	1	2 teaspoons baking powder	BAKING POWDER
