entryID	userID	mealDate	mealTime	recipeNumber	userNote
1	2	2016-06-28	B	122	love that stuff for breakfast
2	2	2016-06-29	B	22	yummy
3	2	2016-06-29	L	6	
4	2	2016-06-30	D	306	
5	2	2016-07-04	B	546	great meal
6	2	2016-07-04	L	432	
7	2	2016-07-05	D	42	lovely jubbly
8	2	2016-07-08	B	2	
9	2	2016-07-11	B	654	
11	2	2016-07-26	D	999	this is my comment
20	17	2016-07-27	D	677	NULL
31	2	2016-07-27	B	888	this is my comment
32	2	2016-07-27	B	888	this is my comment
33	2	2016-07-27	B	888	this is my comment
34	2	2017-07-27	B	888	this is my comment
35	2	2017-07-28	B	888	this is my comment
37	2	2017-07-28	B	44	this is my comment
38	2	2017-07-28	B	33	this is my comment
39	2	2016-07-29	B	77	this is my comment
40	2	2016-07-30	B	666	this is my comment
41	2	2016-07-30	L	444	NULL
42	2	2016-07-30	B	88	NULL
43	20	2016-07-29	B	53	NULL
44	2	0000-00-00	B	44	NULL
45	2	0000-00-00	B	99	NULL
46	2	0000-00-00	B	66	NULL
47	2	0000-00-00	B	678	NULL
48	2	2016-07-30	B	55	NULL
49	2	2017-02-02	B	44	NULL
50	2	2016-07-21	B	22	NULL
63	5	2016-08-03	B	251	NULL
