recipeNumber	stepNumber	stepTitle	stepDescription
1	1	Step 1	Place mushrooms in a heatproof bowl. Cover with boiling water. Set aside for 1 hour to soak. Drain, reserving 250ml (1 cup) of liquid. Thinly slice.
1	2	Step 2	Meanwhile, place noodles in a heatproof bowl. Cover with boiling water. Set aside for 10 minutes or until soft. Drain.
1	3	Step 3	Heat oil in a wok over high heat. Stir-fry the ginger, garlic, mushroom, half the chilli and three-quarters of the shallot for 2 minutes. Add the mince and stir-fry for 3 minutes.
1	4	Step 4	Add soy sauce, hoisin sauce and reserved liquid. Cook for 2 minutes. Combine water and cornflour in a bowl. Add to the sauce and stir until it thickens. Stir in noodles and tofu until heated through. Top with remaining chilli and shallot.
2	1	Step 1	Combine cornflour, half the soy sauce and 1 tablespoon sherry in a bowl. Add chicken and turn to coat. Heat half the peanut oil in a wok over high heat until just smoking. Cook half the chicken for 2 minutes or until golden. Transfer to a plate lined with paper towel. Repeat with remaining peanut oil and chicken.
2	2	Step 2	Drain peanut oil from the wok, reserving 1 tablespoon. Heat reserved oil in the wok over high heat. Stir-fry garlic and ginger for 30 seconds or until aromatic. Add capsicum and stir-fry for 3 minutes or until tender. Add chicken, stock, cinnamon and remaining soy sauce and sherry. Reduce heat to medium. Simmer, stirring occasionally, for 12 minutes or until the chicken is cooked through and the sauce is reduced. Drizzle over the sesame oil. Top with chilli and serve with rice.
3	1	Step 1	Place chocolate in a small heatproof bowl over a saucepan half-filled with simmering water (make sure the bowl doesn't touch the water). Stir with a metal spoon until smooth. Set aside to cool slightly. Stir in the egg yolks.
3	2	Step 2	Use an electric beater to beat the cream in a bowl until firm peaks form. Use a metal spoon to fold half the cream into the chocolate mixture. Repeat with remaining cream.
3	3	Step 3	Use a clean electric beater to beat the egg whites in a clean, dry bowl until soft peaks form. Gradually add the sugar, beating until the mixture is thick and glossy.
3	4	Step 4	Fold the egg white mixture into the chocolate mixture. Spoon into four 250ml (1-cup) capacity serving cups. Cover and place in the fridge for 6 hours or until set.
3	5	Step 5	Dust with icing sugar and serve with candy canes.
4	1	Step 1	Heat oil in a deep saucepan over medium-high heat. Add onion. Cook, stirring, for 3 to 4 minutes or until soft. Add sauce and stock. Bring to the boil.
4	2	Step 2	Pour pasta into soup. Stir until well combined. Return soup to the boil. Reduce heat to low. Cook, uncovered, for 3 minutes.
4	3	Step 3	Grate zucchini. Stir into soup. Cook for 2 minutes or until pasta is tender. Season with salt and pepper.
4	4	Step 4	Sprinkle cheese over toast. Place under hot grill for 1 to 2 minutes or until cheese melts. Ladle soup into bowls. Serve with cheese on toast.
5	1	Step 1	Preheat oven to 180°C.
5	2	Step 2	Place the eggs, sugar, butter, almonds, coconut, lemon and orange rind and juice, coconut milk and flour in a food processor and blend until well combined. Pour into a buttered 28cm pie plate. Bake for 1 hour until lightly browned. Set aside to cool, then refrigerate for 1 hour to chill.
5	3	Step 3	Slice and serve with a little whipped cream and passionfruit.
6	1	Step 1	Preheat oven to 180°C. Line 2 baking trays with baking paper.
6	2	Step 2	Pulse the nuts and chocolate in a food processor until finely chopped. (Be careful not to over-process the nuts.)
6	3	Step 3	In a clean bowl, beat eggwhites and a pinch of sugar with electric beaters until soft peaks form. Slowly add remaining sugar, continuing to beat until thick and glossy. Gently fold in nuts and chocolate.
